,school_code,school_name,Year,Attendance
505,4504,Crawford Public School,2011,93.3
506,1681,Crescent Head Public School,2011,86.8
507,8552,Crestwood High School,2011,92.3
508,4441,Crestwood Public School,2011,95.8
509,4037,Cringila Public School,2011,94.2
510,4241,Cromer Public School,2011,94.7
511,8261,Cronulla High School,2011,90.1
512,1682,Cronulla Public School,2011,94.4
513,3668,Cronulla South Public School,2011,94.7
514,8452,Crookwell High School,2011,91.6
515,1684,Crookwell Public School,2011,92.4
516,3717,Croppa Creek Public School,2011,94.7
517,1685,Crossmaglen Public School,2011,97.1
518,3935,Crown Street Public School,2011,94.6
519,7412,Croydon Park Public School,2011,94.1
520,7411,Croydon Public School,2011,95.5
521,1690,Crystal Creek Public School,2011,93.0
522,1695,Cudal Public School,2011,93.2
523,4555,Cudgegong Valley Public School,2011,94.0
524,1696,Cudgen Public School,2011,93.7
525,4485,Culburra Public School,2011,92.3
526,1698,Culcairn Public School,2011,91.5
527,1700,Cullen Bullen Public School,2011,91.6
528,8905,Cumberland High School,2011,90.3
529,1707,Cumnock Public School,2011,88.0
530,1708,Cundletown Public School,2011,92.8
531,3925,Curl Curl North Public School,2011,96.2
532,1712,Curlewis Public School,2011,95.6
533,1714,Currabubula Public School,2011,95.7
534,4460,Curran Public School,2011,91.8
535,4625,Currans Hill Public School,2011,94.6
536,7413,Daceyville Public School,2011,94.4
537,1722,Dalgety Public School,2011,95.5
538,4634,Dalmeny Public School,2011,94.2
539,1723,Dalton Public School,2011,95.7
540,8204,Dapto High School,2011,88.6
541,1727,Dapto Public School,2011,94.0
542,4222,Darcy Road Public School,2011,95.3
543,1732,Dareton Public School,2011,73.9
544,7414,Darlinghurst Public School,2011,94.1
545,1736,Darlington Point Public School,2011,93.2
546,1735,Darlington Public School,2011,92.7
547,8479,Davidson High School,2011,94.0
548,4446,Dawson Public School,2011,93.1
549,1744,Dee Why Public School,2011,94.9
550,1742,Deepwater Public School,2011,92.4
551,1745,Delegate Public School,2011,92.7
552,1747,Delungra Public School,2011,93.2
553,8218,Deniliquin High School,2011,88.1
554,4281,Deniliquin North Public School,2011,94.1
555,4112,Deniliquin South Public School,2011,94.5
556,8103,"Denison College of Secondary Education, Bathurst High Campus",2011,81.6
557,8517,"Denison College of Secondary Education, Kelso High Campus",2011,84.6
558,3862,Denistone East Public School,2011,95.6
559,1749,Denman Public School,2011,95.0
560,3873,Dobroyd Point Public School,2011,96.5
561,8399,Doonside High School,2011,82.6
562,1760,Doonside Public School,2011,91.3
563,1762,Dora Creek Public School,2011,92.2
564,8453,Dorrigo High School,2011,90.2
565,7316,Dorrigo Public School,2011,92.8
566,1768,Double Bay Public School,2011,96.8
567,1770,Douglas Park Public School,2011,94.5
568,1771,Drake Public School,2011,90.1
569,1058,Drummond Memorial Public School,2011,91.2
570,1774,Drummoyne Public School,2011,95.0
571,8543,Dubbo College Delroy Campus,2011,87.7
572,8110,Dubbo College Senior Campus,2011,
573,8417,Dubbo College South Campus,2011,88.1
574,1776,Dubbo North Public School,2011,92.5
575,1775,Dubbo Public School,2011,94.0
576,1811,Dubbo South Public School,2011,93.0
577,3591,Dubbo West Public School,2011,88.8
578,1778,Dudley Public School,2011,94.6
579,8833,Dulwich High School of Visual Arts and Design,2011,90.1
580,4496,Dulwich Hill Public School,2011,94.9
581,4029,Dundas Public School,2011,94.5
582,1788,Dundurrabin Public School,2011,88.5
583,1789,Dunedoo Central School,2011,91.9
584,1791,Dungay Public School,2011,91.5
585,8472,Dungog High School,2011,88.0
586,1792,Dungog Public School,2011,93.2
587,1793,Dungowan Public School,2011,96.8
588,1797,Dunoon Public School,2011,93.9
589,1799,Dural Public School,2011,94.2
590,1801,Duranbah Public School,2011,91.7
591,1802,Duri Public School,2011,94.3
592,1803,Durrumbul Public School,2011,94.5
593,4383,E A Southee Public School,2011,95.2
594,8569,Eagle Vale High School,2011,82.1
595,1807,Earlwood Public School,2011,95.2
596,8206,East Hills Boys High School,2011,93.6
597,8187,East Hills Girls Technology High School,2011,93.0
598,3924,East Hills Public School,2011,94.0
599,1808,Eastern Creek Public School,2011,92.4
600,4516,Eastlakes Public School,2011,94.9
601,4041,Eastwood Heights Public School,2011,95.1
602,7416,Eastwood Public School,2011,96.7
603,1813,Ebenezer Public School,2011,92.6
604,1814,Ebor Public School,2011,98.7
605,8487,Eden Marine High School,2011,89.6
606,1816,Eden Public School,2011,93.5
607,4583,Edensor Park Public School,2011,95.8
608,4155,Edgeworth Heights Public School,2011,93.8
609,3564,Edgeworth Public School,2011,93.1
610,4418,Edward Public School,2011,93.9
611,1823,Eglinton Public School,2011,95.3
612,1824,Elands Public School,2011,87.1
613,4199,Elanora Heights Public School,2011,95.0
614,8521,Elderslie High School,2011,91.2
615,4646,Elderslie Public School,2011,94.8
616,4034,Eleebana Public School,2011,95.2
617,4163,Elermore Vale Public School,2011,94.6
618,8584,Elizabeth Macarthur High School,2011,90.5
619,1826,Ellalong Public School,2011,94.3
620,1830,Ellerston Public School,2011,93.3
621,4568,Ellison Public School,2011,93.9
622,1835,Eltham Public School,2011,94.8
623,4422,Emerton Public School,2011,89.3
624,1838,Emmaville Central School,2011,85.9
625,1839,Empire Bay Public School,2011,94.9
626,1840,Empire Vale Public School,2011,94.1
627,4442,Emu Heights Public School,2011,94.7
628,1841,Emu Plains Public School,2011,94.6
629,8404,Endeavour Sports High School,2011,87.9
630,1844,Enfield Public School,2011,94.9
631,8432,Engadine High School,2011,93.5
632,1845,Engadine Public School,2011,95.5
633,4292,Engadine West Public School,2011,95.7
634,3626,Enngonia Public School,2011,87.5
635,8884,Epping Boys High School,2011,94.6
636,4038,Epping Heights Public School,2011,96.7
637,4165,Epping North Public School,2011,96.8
638,1850,Epping Public School,2011,95.6
639,1851,Epping West Public School,2011,96.2
640,1856,Erina Heights Public School,2011,94.4
641,8405,Erina High School,2011,90.2
642,1860,Ermington Public School,2011,96.5
643,4125,Ermington West Public School,2011,93.7
644,8590,Erskine Park High School,2011,91.1
