,School code,School Name,COMPOSITE_CLASS,COUNT,CLASS
232,1347,Bredbo Public School,COMPOSITE_CLASS_COUNT,1,14
233,1350,Brewarrina Central School,COMPOSITE_CLASS_COUNT,3,14
234,4458,Briar Road Public School,COMPOSITE_CLASS_COUNT,4,14
235,1354,Bribbaree Public School,COMPOSITE_CLASS_COUNT,1,14
236,1358,Brighton-Le-Sands Public School,COMPOSITE_CLASS_COUNT,17,14
237,1360,Bringelly Public School,COMPOSITE_CLASS_COUNT,2,14
238,1498,Brisbania Public School,COMPOSITE_CLASS_COUNT,6,14
239,1361,Broadwater Public School,COMPOSITE_CLASS_COUNT,2,14
240,1363,Brocklesby Public School,COMPOSITE_CLASS_COUNT,2,14
241,1367,Broke Public School,COMPOSITE_CLASS_COUNT,3,14
242,1371,Broken Hill North Public School,COMPOSITE_CLASS_COUNT,8,14
243,1369,Broken Hill Public School,COMPOSITE_CLASS_COUNT,5,14
244,1372,Bronte Public School,COMPOSITE_CLASS_COUNT,0,14
245,4566,Brooke Avenue Public School,COMPOSITE_CLASS_COUNT,16,14
246,1377,Brooklyn Public School,COMPOSITE_CLASS_COUNT,5,14
247,1379,Brookvale Public School,COMPOSITE_CLASS_COUNT,6,14
248,4612,Broulee Public School,COMPOSITE_CLASS_COUNT,2,14
249,1387,Brungle Public School,COMPOSITE_CLASS_COUNT,1,14
250,1389,Brunswick Heads Public School,COMPOSITE_CLASS_COUNT,7,14
251,4183,Budgewoi Public School,COMPOSITE_CLASS_COUNT,12,14
252,1402,Bulahdelah Central School,COMPOSITE_CLASS_COUNT,5,14
253,4228,Bullarah Public School,COMPOSITE_CLASS_COUNT,1,14
254,1411,Bulli Public School,COMPOSITE_CLASS_COUNT,6,14
255,1414,Bundanoon Public School,COMPOSITE_CLASS_COUNT,1,14
256,1415,Bundarra Central School,COMPOSITE_CLASS_COUNT,4,14
257,3765,Bundeena Public School,COMPOSITE_CLASS_COUNT,5,14
258,1421,Bungendore Public School,COMPOSITE_CLASS_COUNT,3,14
259,1424,Bungwahl Public School,COMPOSITE_CLASS_COUNT,2,14
260,4616,Buninyong Public School,COMPOSITE_CLASS_COUNT,4,14
261,1425,Bunnaloo Public School,COMPOSITE_CLASS_COUNT,2,14
262,1432,Burke Ward Public School,COMPOSITE_CLASS_COUNT,3,14
263,1433,Burnside Public School,COMPOSITE_CLASS_COUNT,4,14
264,1688,Buronga Public School,COMPOSITE_CLASS_COUNT,4,14
265,1437,Burraga Public School,COMPOSITE_CLASS_COUNT,1,14
266,4259,Burraneer Bay Public School,COMPOSITE_CLASS_COUNT,3,14
267,1445,Burrawang Public School,COMPOSITE_CLASS_COUNT,2,14
268,1447,Burren Junction Public School,COMPOSITE_CLASS_COUNT,3,14
269,1449,Burringbar Public School,COMPOSITE_CLASS_COUNT,3,14
270,1453,Burrumbuttock Public School,COMPOSITE_CLASS_COUNT,2,14
271,1455,Burwood Public School,COMPOSITE_CLASS_COUNT,2,14
272,4337,Busby Public School,COMPOSITE_CLASS_COUNT,5,14
273,4396,Busby West Public School,COMPOSITE_CLASS_COUNT,13,14
274,1460,Buxton Public School,COMPOSITE_CLASS_COUNT,5,14
275,1464,Bylong Upper Public School,COMPOSITE_CLASS_COUNT,1,14
276,1470,Byron Bay Public School,COMPOSITE_CLASS_COUNT,20,14
277,1471,Cabbage Tree Island Public School,COMPOSITE_CLASS_COUNT,1,14
278,1472,Cabramatta Public School,COMPOSITE_CLASS_COUNT,2,14
279,3980,Cabramatta West Public School,COMPOSITE_CLASS_COUNT,3,14
280,3928,Cabramurra Public School,COMPOSITE_CLASS_COUNT,1,14
281,4615,Caddies Creek Public School,COMPOSITE_CLASS_COUNT,1,14
282,4380,Calare Public School,COMPOSITE_CLASS_COUNT,2,14
283,4626,Callala Public School,COMPOSITE_CLASS_COUNT,5,14
284,1481,Cambewarra Public School,COMPOSITE_CLASS_COUNT,7,14
285,4484,Cambridge Gardens Public School,COMPOSITE_CLASS_COUNT,5,14
