,School code,School Name,COMPOSITE_CLASS,COUNT,CLASS
5394,4484,Cambridge Gardens Public School,PCT_COMPOSITE_CLASS_STUDENTS,40.4,14
5395,4060,Cambridge Park Public School,PCT_COMPOSITE_CLASS_STUDENTS,57.2,14
5396,1482,Camden Public School,PCT_COMPOSITE_CLASS_STUDENTS,57.2,14
5397,4286,Camden South Public School,PCT_COMPOSITE_CLASS_STUDENTS,19.4,14
5398,1483,Camdenville Public School,PCT_COMPOSITE_CLASS_STUDENTS,67.3,14
5399,1485,Cammeray Public School,PCT_COMPOSITE_CLASS_STUDENTS,0,14
5400,4490,Campbellfield Public School,PCT_COMPOSITE_CLASS_STUDENTS,72.3,14
5401,4277,Campbelltown East Public School,PCT_COMPOSITE_CLASS_STUDENTS,43,14
5402,4126,Campbelltown North Public School,PCT_COMPOSITE_CLASS_STUDENTS,69.6,14
5403,1486,Campbelltown Public School,PCT_COMPOSITE_CLASS_STUDENTS,59.5,14
5404,1488,Campsie Public School,PCT_COMPOSITE_CLASS_STUDENTS,0,14
5405,1490,Candelo Public School,PCT_COMPOSITE_CLASS_STUDENTS,100,14
5406,1492,Caniaba Public School,PCT_COMPOSITE_CLASS_STUDENTS,100,14
5407,3983,Canley Heights Public School,PCT_COMPOSITE_CLASS_STUDENTS,7.5,14
5408,1494,Canley Vale Public School,PCT_COMPOSITE_CLASS_STUDENTS,6.7,14
5409,1495,Canobolas Public School,PCT_COMPOSITE_CLASS_STUDENTS,79.8,14
5410,7301,Canowindra Public School,PCT_COMPOSITE_CLASS_STUDENTS,22.5,14
5411,1497,Canterbury Public School,PCT_COMPOSITE_CLASS_STUDENTS,84.9,14
5412,5109,Canterbury South Public School,PCT_COMPOSITE_CLASS_STUDENTS,80.4,14
5413,1501,Capertee Public School,PCT_COMPOSITE_CLASS_STUDENTS,100,14
5414,1502,Captains Flat Public School,PCT_COMPOSITE_CLASS_STUDENTS,100,14
5415,1503,Caragabal Public School,PCT_COMPOSITE_CLASS_STUDENTS,100,14
5416,1504,Carcoar Public School,PCT_COMPOSITE_CLASS_STUDENTS,100,14
5417,5260,Cardiff North Public School,PCT_COMPOSITE_CLASS_STUDENTS,86.6,14
5418,1505,Cardiff Public School,PCT_COMPOSITE_CLASS_STUDENTS,89.5,14
